1691009261.674549423: Position, 1.92369, -0.0372679, 1.21302
 Orientation: -0.0165444, -0.0345306, 0.0708232, -0.996754
1691009261.694583156: Position, 1.90293, -0.0364407, 1.2121
 Orientation: -0.0422241, -0.0463391, 0.0657232, -0.995867
1691009261.704567270: Position, 1.89171, -0.0349094, 1.21163
 Orientation: -0.0354416, -0.0445364, 0.0727257, -0.995727
1691009261.704618624: Position, 1.88149, -0.0329768, 1.20934
 Orientation: -0.00782639, -0.0376996, 0.0694229, -0.996844
1691009261.724699450: Position, 1.85884, -0.0289999, 1.20649
 Orientation: 0.0341634, -0.0267825, 0.0746721, -0.996263
1691009261.734611161: Position, 1.84925, -0.0305063, 1.20771
 Orientation: -0.0271945, -0.045393, 0.0708252, -0.996084
1691009261.744528119: Position, 1.83876, -0.0304758, 1.20709
 Orientation: -0.0751165, -0.0565988, 0.06542, -0.993416
1691009261.754570621: Position, 1.8284, -0.0292296, 1.20693
 Orientation: -0.0787679, -0.0611315, 0.0686717, -0.992644
1691009261.754628130: Position, 1.81776, -0.0276533, 1.20565
 Orientation: -0.0535423, -0.0546333, 0.0688789, -0.994688
1691009261.774603537: Position, 1.79641, -0.0254135, 1.20348
 Orientation: -0.0410373, -0.0470982, 0.0691331, -0.99565
1691009261.804597519: Position, 1.76554, -0.0225157, 1.20285
 Orientation: -0.0646297, -0.0574998, 0.0664052, -0.994036
1691009261.814491647: Position, 1.74468, -0.0174925, 1.19956
 Orientation: 0.0309907, -0.0251625, 0.0705909, -0.996706
1691009261.824592617: Position, 1.73457, -0.0187857, 1.20124
 Orientation: -0.056194, -0.0519613, 0.0679798, -0.994747
1691009261.834516407: Position, 1.72425, -0.0176663, 1.20119
 Orientation: -0.0737318, -0.052787, 0.0656614, -0.993713
1691009261.844572877: Position, 1.71421, -0.0165987, 1.20134
 Orientation: -0.05157, -0.0504195, 0.0685591, -0.995037
1691009261.854528855: Position, 1.70331, -0.0101704, 1.20004
 Orientation: 0.0290925, -0.017407, 0.0612615, -0.997546
1691009261.854601836: Position, 1.69338, -0.0124099, 1.19903
 Orientation: 0.0360296, -0.021395, 0.0729831, -0.996453
1691009261.864581415: Position, 1.68295, -0.0128419, 1.20262
 Orientation: -0.0637709, -0.0539924, 0.0672211, -0.994233
1691009261.874550483: Position, 1.67275, -0.0104175, 1.20143
 Orientation: -0.0308509, -0.0376273, 0.0698916, -0.996367
1691009261.884522954: Position, 1.66158, -0.00574716, 1.20055
 Orientation: 0.037257, -0.0165818, 0.0775253, -0.996156
1691009261.894483314: Position, 1.65243, -0.00355332, 1.20188
 Orientation: 0.0337221, -0.00533145, 0.0592385, -0.99766
1691009261.904590917: Position, 1.64238, -0.00139145, 1.20243
 Orientation: 0.0279653, -0.00466205, 0.0587746, -0.997869
1691009261.904658985: Position, 1.63257, -0.00374823, 1.20209
 Orientation: 0.0347786, -0.00682415, 0.0760446, -0.996474
1691009261.914525760: Position, 1.62293, -0.00407524, 1.20531
 Orientation: -0.0407031, -0.0286385, 0.0711445, -0.996224
1691009261.924585978: Position, 1.61374, -0.00316791, 1.20674
 Orientation: -0.0558532, -0.0324712, 0.0698034, -0.995467
1691009261.934496905: Position, 1.60399, -0.00155482, 1.20771
 Orientation: -0.0615274, -0.030705, 0.0687178, -0.995264
1691009261.944587646: Position, 1.59448, -0.00175136, 1.20981
 Orientation: -0.0715021, -0.0384851, 0.072203, -0.994079
1691009261.954548084: Position, 1.58574, -0.000499405, 1.21143
 Orientation: -0.109657, -0.0444091, 0.0638289, -0.990923
1691009261.954600992: Position, 1.5767, -0.00036668, 1.21135
 Orientation: -0.0766047, -0.0365211, 0.0693698, -0.993975
1691009261.974583580: Position, 1.55951, 0.00303536, 1.21271
 Orientation: -0.0502876, -0.0341691, 0.0744846, -0.995367
1691009261.984619031: Position, 1.54889, 0.00704472, 1.21169
 Orientation: 0.0416789, -0.00755671, 0.0873673, -0.995275
1691009261.994547922: Position, 1.54108, 0.00935416, 1.21343
